DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
02M280,Manhattan Early College School for Advertising,Meeting Target,3.33,Proficient,Proficient,Proficient,75%,79%,79%,Meeting Target,3.67,Well Developed,70%,80%,78%,Meeting Target,3.74,Well Developed,74%,72%,72%,Meeting Target,0.19,0.57,0.44,3.75,67.3%,2.68,Meeting Target,3.14,74%,84%,82%,Exceeding Target,4.00,90%,87%,87%,Meeting Target,3.16,83%,87%,87%,51%,68%,26%,,October-18
02M282,Urban Assembly Maker Academy,Meeting Target,3.14,Proficient,Developing,Proficient,80%,79%,79%,Meeting Target,3.50,Proficient,82%,80%,78%,Meeting Target,3.29,Proficient,76%,72%,72%,Exceeding Target,0.20,0.58,0.49,4.27,67.1%,2.37,Meeting Target,3.78,92%,84%,82%,Exceeding Target,4.00,91%,87%,87%,Exceeding Target,4.06,92%,87%,87%,80%,100%,46%,Luke Bauer,November 2016
02M288,Food and Finance High School,Approaching Target,2.92,Proficient,Proficient,Developing,74%,79%,79%,Approaching Target,2.33,Developing,65%,80%,78%,Approaching Target,2.55,Proficient,58%,72%,72%,Meeting Target,0.20,0.61,0.64,3.75,60.5%,2.49,Approaching Target,2.54,67%,84%,82%,Not Meeting Target,1.92,79%,87%,87%,Approaching Target,2.55,80%,87%,87%,75%,86%,24%,ROGER TURGEON,May 2017
02M294,Essex Street Academy,Exceeding Target,4.44,Well Developed,Proficient,Well Developed,86%,79%,79%,Exceeding Target,4.72,Well Developed,95%,80%,78%,Exceeding Target,4.01,Well Developed,81%,72%,72%,Approaching Target,0.25,0.77,0.42,2.67,65.3%,3.08,Exceeding Target,4.38,94%,84%,82%,Exceeding Target,4.21,91%,87%,87%,Exceeding Target,4.55,96%,87%,87%,88%,100%,40%,Wallace Simpson,19-May-16
02M296,High School of Hospitality Management,Approaching Target,2.34,Developing,Developing,Developing,79%,79%,79%,Approaching Target,2.90,Proficient,76%,80%,78%,Meeting Target,3.46,Proficient,68%,72%,72%,Exceeding Target,0.25,0.75,1.03,4.60,57.9%,3.94,Approaching Target,2.87,82%,84%,82%,,.,88%,87%,87%,,.,86%,87%,87%,62%,45%,3%,,February-19
02M298,Pace High School,Meeting Target,3.75,Well Developed,Proficient,Proficient,75%,79%,79%,Meeting Target,3.71,Well Developed,79%,80%,78%,Meeting Target,3.33,Well Developed,71%,72%,72%,Meeting Target,0.19,0.56,0.50,3.63,55.5%,1.70,Meeting Target,3.35,80%,84%,82%,Meeting Target,3.21,84%,87%,87%,Meeting Target,3.38,86%,87%,87%,80%,95%,26%,,October-18
02M300,"Urban Assembly School of Design and Construction,",Approaching Target,2.77,Proficient,Developing,Developing,79%,79%,79%,Meeting Target,3.44,Proficient,82%,80%,78%,Meeting Target,3.35,Proficient,72%,72%,72%,Exceeding Target,0.26,0.79,0.77,4.13,51.8%,2.96,Meeting Target,3.45,90%,84%,82%,Exceeding Target,4.09,92%,87%,87%,Exceeding Target,4.33,94%,87%,87%,87%,100%,56%,,April-19
02M303,"Facing History School, The",Meeting Target,3.85,Well Developed,Proficient,Proficient,78%,79%,79%,Exceeding Target,4.40,Well Developed,86%,80%,78%,Meeting Target,3.55,Well Developed,72%,72%,72%,Meeting Target,0.25,0.76,0.68,3.38,43.4%,2.25,Exceeding Target,4.23,93%,84%,82%,Meeting Target,3.95,89%,87%,87%,Exceeding Target,4.37,95%,87%,87%,84%,100%,30%,Dana Panagot,"March 13, 2015"
02M305,"Urban Assembly Academy of Government and Law, The",Meeting Target,3.43,Proficient,Proficient,Proficient,77%,79%,79%,Meeting Target,3.73,Proficient,80%,80%,78%,Meeting Target,3.51,Well Developed,70%,72%,72%,Meeting Target,0.19,0.58,0.60,3.00,53.6%,2.49,Exceeding Target,4.22,88%,84%,82%,Exceeding Target,4.55,94%,87%,87%,Meeting Target,3.72,87%,87%,87%,87%,100%,50%,Alison Breedy,January 2017
02M308,Lower Manhattan Arts Academy,Meeting Target,3.47,Well Developed,Proficient,Proficient,68%,79%,79%,Meeting Target,3.23,Well Developed,53%,80%,78%,Meeting Target,3.34,Well Developed,61%,72%,72%,Meeting Target,0.37,1.00,0.66,3.88,56.2%,3.16,Approaching Target,2.80,47%,84%,82%,Not Meeting Target,1.96,78%,87%,87%,Not Meeting Target,1.85,67%,87%,87%,77%,93%,30%,JOHN WENK,March 2018
02M316,"Urban Assembly School of Business for Young Women,",Meeting Target,3.08,Proficient,Developing,Developing,91%,79%,79%,Meeting Target,3.73,Developing,97%,80%,78%,Meeting Target,3.46,Proficient,85%,72%,72%,Meeting Target,0.16,0.46,0.61,3.63,48.7%,2.15,Meeting Target,3.96,98%,84%,82%,Meeting Target,3.34,87%,87%,87%,Exceeding Target,4.22,94%,87%,87%,36%,87%,27%,PATRICIA MINAYA,January 2017
02M374,Gramercy Arts High School,Approaching Target,2.88,Proficient,Developing,Proficient,73%,79%,79%,Meeting Target,3.03,Proficient,73%,80%,78%,Approaching Target,2.44,Proficient,59%,72%,72%,Approaching Target,0.16,0.48,0.42,2.83,50.4%,1.33,Approaching Target,2.97,72%,84%,82%,Approaching Target,2.61,83%,87%,87%,Approaching Target,2.51,81%,87%,87%,91%,69%,18%,Susan DiCicco,January 2017
02M376,NYC iSchool,Exceeding Target,4.44,Well Developed,Proficient,Well Developed,87%,79%,79%,Exceeding Target,4.46,Well Developed,88%,80%,78%,Exceeding Target,4.31,Well Developed,83%,72%,72%,Approaching Target,0.15,0.44,0.26,2.25,88.6%,3.95,Meeting Target,3.90,90%,84%,82%,Meeting Target,3.78,88%,87%,87%,Exceeding Target,4.27,94%,87%,87%,93%,97%,66%,Isora Bailey,5-Feb-16
02M392,Manhattan Business Academy,Exceeding Target,4.65,Well Developed,Well Developed,Well Developed,81%,79%,79%,Exceeding Target,4.29,Well Developed,84%,80%,78%,Meeting Target,3.47,Well Developed,71%,72%,72%,Meeting Target,0.21,0.64,0.31,3.25,54.6%,2.19,Meeting Target,3.62,88%,84%,82%,Approaching Target,2.45,80%,87%,87%,Meeting Target,3.51,89%,87%,87%,79%,97%,28%,Karen Polsonetti,"March 3, 2015"
02M393,Business Of Sports School,Meeting Target,3.35,Proficient,Proficient,Proficient,74%,79%,79%,Meeting Target,3.28,Proficient,76%,80%,78%,Approaching Target,2.95,Proficient,70%,72%,72%,Meeting Target,0.23,0.70,0.42,3.50,48.7%,2.02,Meeting Target,3.47,81%,84%,82%,Meeting Target,3.74,89%,87%,87%,Meeting Target,3.65,87%,87%,87%,71%,95%,16%,JOSHUA SOLOMON,October 2017
02M399,The High School For Language And Diplomacy,Approaching Target,2.39,Proficient,Developing,Developing,67%,79%,79%,Approaching Target,2.42,Proficient,57%,80%,78%,Approaching Target,2.51,Proficient,61%,72%,72%,Meeting Target,0.18,0.54,0.56,3.00,52.8%,2.09,Approaching Target,2.56,59%,84%,82%,Not Meeting Target,1.73,75%,87%,87%,Approaching Target,2.19,74%,87%,87%,74%,74%,10%,Sarah Hernandez,May 2018
02M400,High School for Environmental Studies,Meeting Target,3.95,Well Developed,Proficient,Proficient,82%,79%,79%,Meeting Target,3.80,Proficient,79%,80%,78%,Meeting Target,3.63,Proficient,73%,72%,72%,Meeting Target,0.19,0.55,0.63,3.50,65.0%,3.16,Exceeding Target,4.38,84%,84%,82%,Meeting Target,3.56,88%,87%,87%,Meeting Target,3.67,87%,87%,87%,70%,81%,15%,Amber Najmi Shadid,January 2018
02M407,Institute for Collaborative Education,,.,Well Developed,Well Developed,Well Developed,76%,79%,79%,,.,Well Developed,78%,80%,78%,Meeting Target,3.98,Well Developed,73%,70%,72%,Approaching Target,0.18,0.54,0.34,2.92,82.4%,3.73,,.,75%,83%,82%,,.,93%,90%,87%,,.,81%,87%,87%,86%,26%,26%,Peter Karp,26-May-16
02M408,Professional Performing Arts High School,Meeting Target,3.37,Proficient,Proficient,Proficient,77%,79%,79%,Meeting Target,3.83,Proficient,80%,80%,78%,Meeting Target,3.56,Well Developed,70%,70%,72%,Meeting Target,0.14,0.42,0.37,3.38,81.7%,2.96,Meeting Target,3.73,84%,83%,82%,Meeting Target,3.30,87%,90%,87%,Meeting Target,3.31,86%,87%,87%,82%,89%,50%,KEITH RYAN,March 2018
02M411,Baruch College Campus High School,Meeting Target,3.65,Proficient,Proficient,Proficient,83%,79%,79%,Meeting Target,3.04,Proficient,65%,80%,78%,Exceeding Target,4.21,Well Developed,75%,72%,72%,Exceeding Target,0.15,0.44,0.48,4.10,91.8%,4.23,Approaching Target,2.74,65%,84%,82%,Meeting Target,3.59,86%,87%,87%,Approaching Target,2.68,79%,87%,87%,78%,93%,39%,Alicia Perez Katz,November 2017
02M412,N.Y.C. Lab School for Collaborative Studies,Exceeding Target,4.39,Well Developed,Well Developed,Proficient,85%,79%,79%,Exceeding Target,4.48,Well Developed,89%,80%,78%,Meeting Target,3.93,Well Developed,79%,72%,72%,Approaching Target,0.20,0.61,0.33,2.42,84.0%,3.16,Exceeding Target,4.07,92%,84%,82%,Exceeding Target,4.23,91%,87%,87%,Exceeding Target,4.04,93%,87%,87%,94%,79%,43%,Brooke Jackson,"January 7, 2015"
02M413,School of the Future High School,Exceeding Target,4.20,Well Developed,Proficient,Well Developed,79%,79%,79%,Meeting Target,3.47,Proficient,80%,80%,78%,Exceeding Target,4.12,Well Developed,75%,70%,72%,Approaching Target,0.19,0.58,0.28,2.92,85.7%,3.71,Meeting Target,3.47,84%,83%,82%,Meeting Target,3.66,90%,90%,87%,Meeting Target,3.18,83%,87%,87%,82%,80%,43%,,February-19
02M414,N.Y.C. Museum School,Meeting Target,3.88,Proficient,Well Developed,Proficient,80%,79%,79%,Meeting Target,3.11,Proficient,72%,80%,78%,Meeting Target,3.32,Well Developed,72%,72%,72%,Approaching Target,0.22,0.66,0.21,2.45,79.4%,2.74,Approaching Target,2.98,72%,84%,82%,Meeting Target,3.02,83%,87%,87%,Approaching Target,2.14,77%,87%,87%,93%,87%,27%,DARLENE MILLER,December 2016
02M416,Eleanor Roosevelt High School,Exceeding Target,4.49,Well Developed,Well Developed,Proficient,89%,79%,79%,Meeting Target,3.62,Proficient,77%,80%,78%,Exceeding Target,4.44,Well Developed,84%,72%,72%,Approaching Target,0.16,0.46,0.27,2.25,94.5%,4.44,Meeting Target,3.78,82%,84%,82%,Exceeding Target,4.05,90%,87%,87%,Meeting Target,3.93,89%,87%,87%,92%,80%,53%,DIMITRI SALIANI,April 2017
02M418,Millennium High School,Meeting Target,3.00,Proficient,Developing,Developing,85%,79%,79%,Meeting Target,3.32,Proficient,81%,80%,78%,Exceeding Target,4.30,Well Developed,80%,72%,72%,Approaching Target,0.12,0.34,0.20,2.25,93.9%,4.40,Meeting Target,3.43,84%,84%,82%,Meeting Target,3.26,84%,87%,87%,Meeting Target,3.39,86%,87%,87%,94%,98%,38%,COLIN MCEVOY,March 2017
02M419,Landmark High School,Meeting Target,3.42,Proficient,Proficient,Proficient,76%,79%,79%,Meeting Target,3.99,Proficient,85%,80%,78%,Meeting Target,3.16,Proficient,72%,72%,72%,Meeting Target,0.22,0.68,0.78,3.75,39.3%,1.69,Exceeding Target,4.22,89%,84%,82%,Meeting Target,3.70,89%,87%,87%,Meeting Target,3.84,90%,87%,87%,75%,100%,31%,Caron Pinkus,December 2017
02M420,High School for Health Professions and Human Servi,Meeting Target,3.54,Proficient,Proficient,Proficient,83%,79%,79%,Meeting Target,3.49,Proficient,81%,80%,78%,Meeting Target,3.91,Proficient,76%,72%,72%,Meeting Target,0.14,0.42,0.59,3.50,78.2%,3.89,Meeting Target,3.35,79%,84%,82%,Not Meeting Target,1.79,78%,87%,87%,Meeting Target,3.41,85%,87%,87%,90%,94%,52%,,April-19
02M422,Quest to Learn,Meeting Target,3.14,Proficient,Proficient,Developing,83%,79%,79%,Meeting Target,3.96,Proficient,92%,80%,78%,Meeting Target,3.24,Well Developed,71%,70%,72%,Approaching Target,0.25,0.76,0.39,2.42,57.7%,1.73,Meeting Target,3.42,92%,83%,82%,Meeting Target,3.30,88%,90%,87%,Meeting Target,3.85,91%,87%,87%,73%,100%,24%,Nicholas Jurman,March 2017
02M425,Leadership and Public Service High School,Approaching Target,2.52,Developing,Developing,Developing,83%,79%,79%,Meeting Target,3.43,Proficient,82%,80%,78%,Meeting Target,3.47,Proficient,75%,72%,72%,Meeting Target,0.19,0.58,0.84,3.88,49.9%,2.37,Meeting Target,3.02,80%,84%,82%,Approaching Target,2.94,83%,87%,87%,Meeting Target,3.44,87%,87%,87%,72%,87%,21%,Philip Santos,January 2017
02M427,Manhattan Academy For Arts & Language,Meeting Target,3.78,Proficient,Proficient,Proficient,90%,79%,79%,Meeting Target,3.88,Proficient,92%,80%,78%,Meeting Target,3.34,Proficient,75%,72%,72%,Not Meeting Target,0.09,0.24,0.29,1.83,56.2%,3.16,Exceeding Target,4.17,94%,84%,82%,Meeting Target,3.77,89%,87%,87%,Meeting Target,3.64,90%,87%,87%,89%,90%,60%,Siv Boletsis,"December 16, 2014"
02M432,Murray Hill Academy,Exceeding Target,4.74,Well Developed,Well Developed,Well Developed,87%,N/A,79%,Exceeding Target,4.41,Well Developed,91%,N/A,78%,Meeting Target,3.99,Well Developed,79%,N/A,72%,Exceeding Target,0.24,0.72,0.76,4.27,45.0%,2.09,Exceeding Target,4.41,91%,N/A,82%,Meeting Target,3.38,87%,N/A,87%,Meeting Target,3.76,92%,N/A,87%,74%,92%,21%,Anita Manninen Felix,February 2018
02M437,Hudson High School of Learning Technologies,Meeting Target,3.05,Proficient,Developing,Proficient,77%,79%,79%,Approaching Target,2.77,Proficient,66%,80%,78%,Approaching Target,2.77,Proficient,68%,72%,72%,Meeting Target,0.25,0.75,0.50,3.00,44.8%,1.77,Approaching Target,2.84,68%,84%,82%,Approaching Target,2.34,79%,87%,87%,Approaching Target,2.06,77%,87%,87%,78%,94%,5%,Nancy Amling,November 2017
02M438,International High School at Union Square,Meeting Target,3.67,Proficient,Proficient,Proficient,85%,79%,79%,Meeting Target,3.95,Proficient,93%,80%,78%,Meeting Target,3.87,Proficient,82%,72%,72%,Exceeding Target,0.03,0.03,0.67,4.07,66.8%,3.81,Meeting Target,3.64,91%,84%,82%,Meeting Target,3.43,86%,87%,87%,Exceeding Target,4.23,93%,87%,87%,90%,82%,24%,VADEWATIE RAMSUCHIT,December 2016
02M439,Manhattan Village Academy,Exceeding Target,4.77,Well Developed,Well Developed,Well Developed,85%,79%,79%,Exceeding Target,4.21,Well Developed,82%,80%,78%,Exceeding Target,4.53,Well Developed,78%,72%,72%,Meeting Target,0.15,0.44,0.49,3.75,97.8%,4.99,Meeting Target,3.78,88%,84%,82%,Exceeding Target,4.18,91%,87%,87%,Meeting Target,3.62,88%,87%,87%,93%,80%,51%,Hector Geager,"December 9, 2014"
02M449,Vanguard High School,Meeting Target,3.70,Proficient,Proficient,Proficient,86%,79%,79%,Meeting Target,3.93,Proficient,92%,80%,78%,Meeting Target,3.63,Proficient,79%,72%,72%,Approaching Target,0.26,0.79,0.39,2.75,57.7%,2.74,Meeting Target,3.69,92%,84%,82%,Meeting Target,3.79,90%,87%,87%,Meeting Target,3.92,92%,87%,87%,82%,97%,9%,,March-19
02M459,Manhattan International High School,Exceeding Target,4.77,Well Developed,Well Developed,Well Developed,85%,79%,79%,Exceeding Target,4.67,Well Developed,93%,80%,78%,Exceeding Target,4.03,Well Developed,83%,72%,72%,,0.01,0.00,N<5,.,59.9%,2.77,Exceeding Target,4.48,95%,84%,82%,Exceeding Target,4.17,91%,87%,87%,Exceeding Target,4.41,95%,87%,87%,91%,100%,91%,Gladys Rodriguez,"April 1, 2015"
02M475,Stuyvesant High School,Exceeding Target,4.13,Well Developed,Proficient,Proficient,90%,79%,79%,Meeting Target,3.59,Proficient,84%,80%,78%,Exceeding Target,4.48,Well Developed,84%,72%,72%,Exceeding Target,0.01,0.00,0.53,4.00,94.2%,4.26,Exceeding Target,4.04,92%,84%,82%,Meeting Target,3.72,87%,87%,87%,Exceeding Target,4.07,93%,87%,87%,89%,72%,37%,,January-19
02M489,High School of Economics and Finance,Meeting Target,3.97,Well Developed,Proficient,Proficient,82%,79%,79%,Meeting Target,3.89,Proficient,82%,80%,78%,Exceeding Target,4.12,Well Developed,73%,72%,72%,Approaching Target,0.19,0.58,0.45,2.17,76.7%,4.33,Exceeding Target,4.10,84%,84%,82%,Meeting Target,3.32,85%,87%,87%,Meeting Target,3.62,87%,87%,87%,79%,87%,20%,,May-19
02M500,Unity Center for Urban Technologies,Meeting Target,3.68,Proficient,Proficient,Proficient,90%,79%,79%,Meeting Target,3.69,Well Developed,75%,80%,78%,Meeting Target,3.41,Proficient,93%,72%,72%,Exceeding Target,0.25,0.76,0.74,4.30,45.0%,1.68,Meeting Target,3.93,78%,84%,82%,Meeting Target,3.53,88%,87%,87%,Exceeding Target,4.19,91%,87%,87%,95%,83%,92%,FAUSTO DE LA ROSA,December 2016
02M507,Urban Assembly Gateway School for Technology,Exceeding Target,4.51,Well Developed,Proficient,Well Developed,89%,79%,79%,Exceeding Target,4.55,Well Developed,90%,80%,78%,Exceeding Target,4.19,Well Developed,79%,72%,72%,Meeting Target,0.22,0.66,0.46,3.75,76.0%,3.73,Meeting Target,3.78,88%,84%,82%,Meeting Target,3.89,88%,87%,87%,Exceeding Target,4.07,91%,87%,87%,90%,100%,82%,April Mckoy,18-May-16
02M519,Talent Unlimited High School,Meeting Target,3.45,Proficient,Proficient,Proficient,77%,79%,79%,Meeting Target,3.03,Proficient,71%,80%,78%,Meeting Target,3.12,Proficient,72%,72%,72%,Exceeding Target,0.18,0.52,0.56,4.10,72.5%,2.28,Meeting Target,3.24,77%,84%,82%,Meeting Target,3.74,89%,87%,87%,Meeting Target,3.21,84%,87%,87%,84%,100%,31%,YEOU JEY VASCONCELOS,February 2018
02M520,Murry Bergtraum High School for Business Careers,Approaching Target,2.48,Developing,Developing,Proficient,70%,79%,79%,Approaching Target,2.84,Proficient,66%,80%,78%,Approaching Target,2.77,Proficient,62%,72%,72%,Approaching Target,0.19,0.58,0.89,2.75,44.0%,2.65,Approaching Target,2.61,60%,84%,82%,Meeting Target,3.22,87%,87%,87%,Approaching Target,2.60,79%,87%,87%,62%,87%,3%,NAIMA COOK,January 2017
02M529,Jacqueline Kennedy Onassis High School,Approaching Target,2.09,Developing,Developing,Developing,72%,79%,79%,Approaching Target,2.92,Proficient,69%,80%,78%,Approaching Target,2.41,Proficient,63%,72%,72%,Not Meeting Target,0.19,0.57,0.43,1.78,36.0%,1.62,Meeting Target,3.24,77%,84%,82%,Not Meeting Target,1.92,79%,87%,87%,Approaching Target,2.16,78%,87%,87%,65%,79%,11%,EDWARD DEMEO,November 2016
02M531,Repertory Company High School for Theatre Arts,Exceeding Target,4.18,Well Developed,Well Developed,Well Developed,71%,79%,79%,Meeting Target,3.63,Well Developed,69%,80%,78%,,.,Well Developed,48%,72%,72%,Approaching Target,0.16,0.46,0.38,2.67,68.9%,2.27,Approaching Target,2.12,70%,84%,82%,Approaching Target,2.83,83%,87%,87%,Meeting Target,3.21,85%,87%,87%,0%,81%,31%,Manuel Urena,"March 6, 2015"
02M533,Union Square Academy for Health Sciences,Exceeding Target,4.16,Well Developed,Proficient,Well Developed,76%,79%,79%,Meeting Target,3.35,Well Developed,70%,80%,78%,Meeting Target,3.45,Well Developed,69%,72%,72%,Approaching Target,0.16,0.47,0.56,2.00,60.9%,2.53,Meeting Target,3.91,76%,84%,82%,Exceeding Target,4.15,92%,87%,87%,Meeting Target,3.55,84%,87%,87%,77%,81%,78%,,November-18
02M534,Harvest Collegiate High School,Meeting Target,3.20,Proficient,Developing,Proficient,84%,79%,79%,Meeting Target,3.70,Proficient,87%,80%,78%,Meeting Target,3.37,Well Developed,70%,72%,72%,Meeting Target,0.25,0.76,0.39,3.00,61.8%,1.97,Meeting Target,3.95,89%,84%,82%,Meeting Target,3.89,89%,87%,87%,Meeting Target,3.55,89%,87%,87%,55%,84%,28%,Catherine Burch,February 2017
