DBN,School Name,School Type,Student Achievement - Section Rating,Student Achievement - Section Score,Metric Rating - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,N count - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,"Metric Rating - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","N count - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Percent of Enrollment - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Population Percent of Range - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Value - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Approaching Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Meeting Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Exceeding Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Score - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS",Metric Rating - 4-Year Graduation Rate - English Language Learners,N count - 4-Year Graduation Rate - English Language Learners,Percent of Enrollment - 4-Year Graduation Rate - English Language Learners,Population Percent of Range - 4-Year Graduation Rate - English Language Learners,Metric Value - 4-Year Graduation Rate - English Language Learners,Approaching Target For 2019 - 4-Year Graduation Rate - English Language Learners,Meeting Target For 2019 - 4-Year Graduation Rate - English Language Learners,Exceeding Target For 2019 - 4-Year Graduation Rate - English Language Learners,Metric Score - 4-Year Graduation Rate - English Language Learners,Metric Rating - 4-Year Graduation Rate - Lowest Third Citywide,N count - 4-Year Graduation Rate - Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Lowest Third Citywide,"Metric Rating - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","N count - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Percent of Enrollment - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Population Percent of Range - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Value - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Approaching Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Meeting Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Exceeding Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Score - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Rating - College and Career Preparatory Course Index, Lowest Third Citywide","N count - College and Career Preparatory Course Index, Lowest Third Citywide","Percent of Enrollment - College and Career Preparatory Course Index, Lowest Third Citywide","Population Percent of Range - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Value - College and Career Preparatory Course Index, Lowest Third Citywide","Approaching Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Meeting Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Exceeding Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Score - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Rating - 4-Year College Readiness Index, Lowest Third Citywide","N count - 4-Year College Readiness Index, Lowest Third Citywide","Percent of Enrollment - 4-Year College Readiness Index, Lowest Third Citywide","Population Percent of Range - 4-Year College Readiness Index, Lowest Third Citywide","Metric Value - 4-Year College Readiness Index, Lowest Third Citywide","Approaching Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Meeting Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Exceeding Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Metric Score - 4-Year College Readiness Index, Lowest Third Citywide",Metric Rating - College Persistence,N count - College Persistence,Metric Value - College Persistence,Approaching Target For 2019 - College Persistence,Meeting Target For 2019 - College Persistence,Exceeding Target For 2019 - College Persistence,Metric Score - College Persistence
02M280,Manhattan Early College School for Advertising,High School,Meeting Target,3.83,Exceeding Target,12,15.0%,33.9%,91.7%,48.0%,65.4%,78.7%,4.70,Meeting Target,16,20.0%,50.8%,81.3%,61.0%,74.5%,85.0%,3.65,,5,6.3%,10.6%,N<10,59.4%,76.0%,85.2%,.,Exceeding Target,18,22.5%,30.0%,94.4%,57.8%,73.0%,81.9%,4.69,,13,15.5%,20.7%,76.9%,40.0%,51.0%,61.5%,.,Exceeding Target,18,22.5%,30.0%,88.9%,5.0%,17.2%,29.2%,4.99,Exceeding Target,18,22.5%,30.0%,38.9%,12.0%,24.2%,31.9%,4.42,,.,N<15,.,.,.,.
02M282,Urban Assembly Maker Academy,High School,Meeting Target,3.17,Meeting Target,12,15.6%,35.2%,66.7%,48.6%,66.0%,79.3%,3.05,,9,11.7%,29.7%,N<10,59.7%,73.7%,84.5%,.,,3,3.9%,6.5%,N<10,58.3%,75.3%,84.8%,.,Meeting Target,20,26.0%,34.7%,75.0%,57.6%,72.9%,81.8%,3.24,Meeting Target,22,23.4%,31.3%,54.5%,33.9%,44.9%,55.4%,3.91,Meeting Target,20,26.0%,34.7%,20.0%,5.3%,18.6%,31.7%,3.11,Approaching Target,20,26.0%,34.7%,20.0%,13.7%,27.2%,35.8%,2.47,,1,N<15,.,.,.,.
02M288,Food and Finance High School,High School,Meeting Target,3.27,Meeting Target,18,22.0%,49.7%,66.7%,45.5%,62.9%,76.2%,3.29,Exceeding Target,16,19.5%,49.5%,81.3%,53.2%,68.0%,79.4%,4.12,,5,6.1%,10.2%,N<10,56.2%,73.8%,83.6%,.,Approaching Target,33,40.2%,53.6%,66.7%,51.7%,67.1%,76.0%,2.97,Meeting Target,28,33.3%,44.5%,50.0%,36.3%,47.3%,57.8%,3.26,Meeting Target,33,40.2%,53.6%,15.2%,5.0%,14.0%,23.8%,3.12,Not Meeting Target,33,40.2%,53.6%,9.1%,9.8%,19.8%,26.1%,1.93,Meeting Target,87,61.8%,48.1%,56.1%,62.9%,3.84
02M294,Essex Street Academy,High School,Exceeding Target,4.03,Meeting Target,15,21.4%,48.3%,80.0%,50.0%,67.4%,80.7%,3.95,Exceeding Target,26,37.1%,94.2%,84.6%,59.2%,73.4%,84.3%,4.02,,3,4.3%,7.2%,N<10,52.9%,70.5%,80.3%,.,Exceeding Target,30,42.9%,57.2%,83.3%,56.0%,71.4%,80.3%,4.16,Meeting Target,23,26.7%,35.7%,56.5%,35.3%,46.3%,56.8%,3.97,Exceeding Target,30,42.9%,57.2%,73.3%,5.0%,15.8%,26.9%,4.99,Exceeding Target,30,42.9%,57.2%,60.0%,9.9%,20.1%,26.5%,4.99,Exceeding Target,80,71.1%,41.2%,49.2%,56.0%,4.99
02M296,High School of Hospitality Management,High School,Meeting Target,3.16,Meeting Target,16,16.0%,36.1%,62.5%,41.3%,58.7%,72.0%,3.29,Meeting Target,24,24.0%,60.9%,62.5%,44.2%,59.0%,70.4%,3.31,,13,13.0%,21.8%,84.6%,56.3%,73.9%,83.7%,.,Approaching Target,48,48.0%,64.0%,66.7%,53.1%,68.5%,77.4%,2.88,Exceeding Target,35,42.7%,57.1%,45.7%,22.3%,33.3%,43.8%,4.11,Approaching Target,48,48.0%,64.0%,8.3%,5.0%,10.9%,18.5%,2.56,Meeting Target,48,48.0%,64.0%,22.9%,9.5%,19.3%,25.5%,3.58,Meeting Target,85,47.1%,36.0%,44.0%,50.8%,3.46
02M298,Pace High School,High School,Approaching Target,2.97,Approaching Target,16,11.9%,26.9%,50.0%,45.7%,63.1%,76.4%,2.25,Approaching Target,20,14.9%,37.8%,60.0%,59.5%,73.6%,84.4%,2.04,,5,3.7%,6.2%,N<10,52.0%,69.6%,79.4%,.,Approaching Target,31,23.1%,30.8%,64.5%,54.2%,69.6%,78.5%,2.67,,20,18.2%,24.3%,25.0%,38.1%,49.1%,59.6%,.,Approaching Target,31,23.1%,30.8%,11.3%,5.0%,15.8%,26.9%,2.58,Meeting Target,31,23.1%,30.8%,29.0%,11.5%,23.3%,30.7%,3.77,Not Meeting Target,92,48.8%,54.6%,62.6%,69.4%,1.45
02M300,"Urban Assembly School of Design and Construction,",High School,Approaching Target,2.88,Approaching Target,28,33.3%,75.2%,50.0%,38.1%,55.5%,68.8%,2.68,Approaching Target,22,26.2%,66.5%,45.5%,44.3%,59.1%,70.5%,2.08,Not Meeting Target,14,16.7%,28.0%,42.9%,52.7%,70.3%,80.1%,1.15,Approaching Target,33,39.3%,52.4%,48.5%,45.6%,61.0%,69.9%,2.19,Meeting Target,37,42.5%,56.8%,45.9%,24.6%,35.6%,46.1%,3.98,Not Meeting Target,33,39.3%,52.4%,3.0%,5.0%,10.0%,15.0%,1.60,Exceeding Target,33,39.3%,52.4%,21.2%,7.2%,14.6%,19.3%,4.19,Meeting Target,92,42.3%,33.3%,41.3%,48.1%,3.15
02M303,"Facing History School, The",High School,Meeting Target,3.59,Exceeding Target,21,21.2%,47.9%,71.4%,37.8%,55.2%,68.5%,4.16,Exceeding Target,23,23.2%,58.9%,73.9%,43.6%,58.4%,69.8%,4.25,Meeting Target,19,19.2%,32.2%,78.9%,52.9%,70.5%,80.3%,3.86,Exceeding Target,53,53.5%,71.3%,71.7%,46.0%,61.4%,70.3%,4.08,Exceeding Target,59,55.1%,73.7%,45.8%,19.9%,30.5%,40.8%,4.30,Approaching Target,53,53.5%,71.3%,9.4%,5.0%,10.0%,15.4%,2.88,Meeting Target,53,53.5%,71.3%,20.8%,8.0%,16.2%,21.4%,3.88,Exceeding Target,83,49.4%,30.2%,38.2%,45.0%,4.37
02M305,"Urban Assembly Academy of Government and Law, The",High School,Meeting Target,3.48,Meeting Target,8,13.1%,29.6%,62.5%,44.5%,61.9%,75.2%,3.05,Exceeding Target,13,21.3%,54.1%,84.6%,46.3%,61.1%,72.5%,4.74,,7,11.5%,19.3%,N<10,54.3%,71.9%,81.7%,.,Meeting Target,22,36.1%,48.1%,72.7%,52.4%,67.8%,76.7%,3.55,Approaching Target,29,47.5%,63.5%,27.6%,19.4%,29.9%,39.9%,2.78,Meeting Target,22,36.1%,48.1%,15.9%,5.0%,12.0%,20.3%,3.47,Not Meeting Target,22,36.1%,48.1%,9.1%,9.2%,18.6%,24.5%,1.99,Meeting Target,67,47.8%,38.5%,46.5%,53.3%,3.19
02M308,Lower Manhattan Arts Academy,High School,Meeting Target,3.14,Not Meeting Target,8,12.3%,27.8%,37.5%,43.6%,61.0%,74.3%,1.57,Approaching Target,27,41.5%,100.0%,66.7%,53.3%,68.1%,79.5%,2.91,,5,7.7%,12.9%,N<10,55.0%,72.6%,82.4%,.,Approaching Target,24,36.9%,49.2%,58.3%,50.7%,66.1%,75.0%,2.49,Meeting Target,27,35.1%,46.9%,44.4%,26.0%,37.0%,47.5%,3.70,Not Meeting Target,24,36.9%,49.2%,4.2%,5.0%,10.3%,17.5%,1.84,Approaching Target,24,36.9%,49.2%,12.5%,8.1%,16.4%,21.6%,2.53,Exceeding Target,77,58.4%,32.6%,40.6%,47.4%,4.92
02M316,"Urban Assembly School of Business for Young Women,",High School,Approaching Target,2.30,,.,0.0%,0.0%,N<5,38.8%,56.2%,69.5%,.,,6,12.8%,32.5%,N<10,51.0%,65.8%,77.2%,.,,3,6.4%,10.7%,N<10,49.7%,67.3%,77.1%,.,Approaching Target,11,23.4%,31.2%,54.5%,50.7%,66.1%,75.0%,2.25,Not Meeting Target,24,38.1%,50.9%,25.0%,27.1%,38.1%,48.6%,1.90,Not Meeting Target,11,23.4%,31.2%,0.0%,5.0%,10.9%,18.6%,1.00,Not Meeting Target,11,23.4%,31.2%,0.0%,10.3%,20.9%,27.6%,1.00,Exceeding Target,52,53.8%,38.8%,46.8%,53.6%,4.02
02M374,Gramercy Arts High School,High School,Approaching Target,2.76,,7,6.4%,14.4%,28.6%,50.2%,67.6%,80.9%,.,Meeting Target,16,14.7%,37.3%,75.0%,61.1%,74.6%,85.0%,3.04,,5,4.6%,7.7%,N<10,63.2%,78.2%,86.6%,.,,18,16.5%,22.0%,50.0%,58.8%,73.7%,82.3%,.,Not Meeting Target,40,35.1%,46.9%,35.0%,39.3%,50.3%,60.8%,1.79,,18,16.5%,22.0%,0.0%,5.0%,16.0%,27.2%,.,,18,16.5%,22.0%,11.1%,12.3%,24.9%,32.8%,.,Approaching Target,128,54.4%,49.8%,57.8%,64.6%,2.58
02M376,NYC iSchool,High School,Exceeding Target,4.33,,5,4.6%,10.4%,100.0%,46.7%,64.1%,77.4%,.,Exceeding Target,15,13.8%,35.0%,100.0%,69.8%,80.3%,88.4%,4.99,,1,0.9%,1.5%,N<10,51.4%,69.0%,78.8%,.,,9,8.3%,11.1%,100.0%,59.3%,74.0%,82.5%,.,,4,3.5%,4.7%,N<5,42.0%,53.0%,63.5%,.,,9,8.3%,11.1%,0.0%,6.9%,24.1%,41.0%,.,,9,8.3%,11.1%,88.9%,12.9%,26.0%,34.4%,.,Approaching Target,105,69.5%,66.9%,74.9%,81.7%,2.33
02M392,Manhattan Business Academy,High School,Meeting Target,3.30,,9,9.8%,22.1%,44.4%,54.7%,70.7%,82.9%,.,Approaching Target,16,17.4%,44.2%,75.0%,63.0%,75.9%,85.8%,2.93,,6,6.5%,10.9%,N<10,60.8%,76.8%,85.7%,.,Meeting Target,24,26.1%,34.8%,75.0%,60.9%,75.0%,83.2%,3.00,Exceeding Target,35,37.2%,49.7%,62.9%,31.0%,42.0%,52.5%,4.61,Approaching Target,24,26.1%,34.8%,12.5%,5.0%,16.2%,27.5%,2.67,Approaching Target,24,26.1%,34.8%,16.7%,12.5%,25.2%,33.3%,2.33,Meeting Target,104,61.4%,46.9%,54.9%,61.7%,3.96
02M393,Business Of Sports School,High School,Meeting Target,3.20,Meeting Target,20,22.0%,49.7%,80.0%,51.7%,68.7%,81.8%,3.86,Approaching Target,18,19.8%,50.3%,66.7%,57.1%,71.9%,83.3%,2.65,Approaching Target,14,15.4%,25.8%,64.3%,60.5%,76.6%,85.6%,2.24,Meeting Target,38,41.8%,55.7%,76.3%,59.2%,73.9%,82.5%,3.28,Approaching Target,39,41.9%,56.0%,38.5%,30.9%,41.9%,52.4%,2.69,Exceeding Target,38,41.8%,55.7%,40.8%,5.0%,14.5%,24.6%,4.90,Meeting Target,38,41.8%,55.7%,26.3%,12.1%,24.5%,32.3%,3.23,Exceeding Target,98,57.5%,36.3%,44.3%,51.1%,4.54
02M399,The High School For Language And Diplomacy,High School,Approaching Target,2.93,Exceeding Target,10,11.9%,26.9%,70.0%,35.5%,52.9%,66.2%,4.21,Meeting Target,17,20.2%,51.3%,76.5%,56.1%,70.9%,82.3%,3.49,Exceeding Target,23,27.4%,45.9%,91.3%,51.7%,69.3%,79.1%,4.78,Exceeding Target,25,29.8%,39.7%,76.0%,43.7%,59.1%,68.0%,4.44,Meeting Target,38,31.7%,42.4%,39.5%,26.6%,37.6%,48.1%,3.18,Approaching Target,25,29.8%,39.7%,8.0%,5.0%,12.5%,21.3%,2.40,Approaching Target,25,29.8%,39.7%,16.0%,9.1%,18.4%,24.3%,2.74,Exceeding Target,100,62.0%,42.3%,50.3%,57.1%,4.41
