School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
HAMILTON HEIGHTS SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$8,752.30","$3,056.01","$6,542.41",$16.22,"$18,366.94",$840.97,$465.94,$0.00,"$1,306.91",$608.05,$336.89,$232.46,"$1,177.40","$20,851.26","$28,553.34","$20,090.16",$534.73,$138.39,$0.00,$0.00,$87.97,$0.00,$761.09,"$28,553.34","$24,977.19","$6,067.88",$944.94,$0.00,$0.00,$0.00
HARBOR HEIGHTS,NYC GEOG DIST # 6 - MANHATTAN ,"$7,054.01","$3,202.02","$5,682.36",$0.00,"$15,938.39","$2,559.82","$1,418.27",$0.00,"$3,978.09",$48.75,$27.01,"$1,691.83","$1,767.60","$21,684.09","$29,386.17","$20,574.28",$846.71,$0.00,$124.33,$0.00,$0.00,$138.77,"$1,109.81","$29,386.17",$0.00,"$11,263.31",$75.77,$0.00,$0.00,$0.00
HAROLD O LEVY SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$10,002.53","$2,660.36","$7,015.89",$2.64,"$19,681.42","$1,225.29",$678.87,$0.00,"$1,904.17","$1,286.37",$712.71,$382.56,"$2,381.65","$23,967.25","$31,669.33","$23,186.07",$685.87,$0.00,$53.90,$0.00,$41.40,$0.00,$781.18,"$31,669.33","$22,937.18","$5,080.04","$1,999.08",$0.00,$0.00,$0.00
HIGH SCH-EXCELLENCE AND INNOVATION,NYC GEOG DIST # 6 - MANHATTAN ,"$10,106.52","$2,588.07","$7,033.45",$283.48,"$20,011.52","$1,042.71",$577.71,$0.00,"$1,620.43",$591.80,$327.89,"$3,496.01","$4,415.70","$26,047.66","$33,749.73","$24,917.81",$672.78,$0.00,$54.03,$160.14,$242.89,$0.00,"$1,129.84","$33,749.73","$14,232.67","$7,096.90","$2,672.00","$4,325.14",$0.00,$0.00
HIGH SCHOOL-HEALTH CAREERS & SCIES,NYC GEOG DIST # 6 - MANHATTAN ,"$8,584.08","$2,230.85","$5,992.02",$2.47,"$16,809.43","$1,537.38",$851.79,$0.00,"$2,389.16",$972.71,$538.93,"$2,562.31","$4,073.96","$23,272.55","$30,974.63","$21,588.52",$946.49,$0.00,$49.61,$0.00,$32.34,$655.58,"$1,684.03","$30,974.63","$10,167.25","$7,589.89","$2,851.34","$4,856.84",$0.00,$0.00
HIGH SCHOOL-LAW & PUBLIC SERVICE,NYC GEOG DIST # 6 - MANHATTAN,"$6,409.01","$2,567.14","$4,973.24",$53.94,"$14,003.34","$2,077.79","$1,151.20",$0.00,"$3,228.99",$623.76,$345.59,$658.74,"$1,628.10","$18,860.43","$26,562.50","$17,512.48",$862.40,$0.00,$38.83,$47.92,$356.49,$42.31,"$1,347.95","$26,562.50","$12,832.74","$8,263.61",$969.35,$0.00,$0.00,$0.00
HIGH SCHOOL-MEDIA & COMMUNICATIONS,NYC GEOG DIST # 6 - MANHATTAN,"$5,952.14","$1,835.29","$4,314.63",$184.09,"$12,286.16","$1,664.58",$922.26,$0.00,"$2,586.84","$1,129.71",$625.92,"$2,170.19","$3,925.82","$18,798.82","$26,500.90","$17,376.93",$869.82,$0.00,$65.29,$76.86,$379.22,$30.69,"$1,421.89","$26,500.90","$8,378.27","$6,758.18","$2,737.95","$3,688.11",$0.00,$0.00
INWOOD EARLY COLLEGE FOR HEALTH-INFO,NYC GEOG DIST # 6 - MANHATTAN ,"$6,653.65","$2,212.91","$4,912.52",$36.39,"$13,815.47","$1,111.50",$615.83,$0.00,"$1,727.34",$562.16,$311.46,$894.98,"$1,768.61","$17,311.41","$25,013.49","$16,326.89",$533.38,$0.00,$30.40,$0.00,$348.41,$72.33,$984.52,"$25,013.49","$13,471.29","$15,201.44",$873.62,$0.00,$0.00,$0.00
IS 528 BEA FULLER RODGERS SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$6,608.89","$3,020.48","$5,335.16",$147.62,"$15,112.16","$1,438.96",$797.26,$0.00,"$2,236.21",$416.19,$230.59,"$2,858.55","$3,505.33","$20,853.71","$28,555.79","$19,768.89",$909.95,$0.00,$53.31,$0.00,$121.55,$0.00,"$1,084.81","$28,555.79","$19,172.33","$7,633.54","$2,191.16","$3,569.71",$0.00,$0.00
JHS 143 ELEANOR ROOSEVELT,NYC GEOG DIST # 6 - MANHATTAN ,"$9,384.68","$3,864.36","$7,340.64",$205.04,"$20,794.72","$1,634.87",$905.80,$0.00,"$2,540.66",$875.19,$484.90,"$1,561.71","$2,921.80","$26,257.19","$33,959.27","$24,636.48",$725.28,$0.00,$83.25,$0.00,$756.44,$55.74,"$1,620.72","$33,959.27","$26,617.87","$9,536.44","$1,360.09",$0.00,$0.00,$0.00
MIDDLE SCHOOL 322,NYC GEOG DIST # 6 - MANHATTAN ,"$8,667.59","$2,620.38","$6,254.11",$287.11,"$17,829.20","$1,209.15",$669.93,$0.00,"$1,879.09",$534.72,$296.26,"$1,300.37","$2,131.35","$21,839.64","$29,541.72","$20,126.57",$878.69,$0.00,$66.32,$0.00,$162.35,$605.72,"$1,713.07","$29,541.72","$20,557.79","$4,184.51","$1,303.30","$1,799.82",$0.00,$0.00
MOTT HALL SCHOOL (THE),NYC GEOG DIST # 6 - MANHATTAN ,"$6,670.83","$1,238.39","$4,382.11",$0.00,"$12,291.33","$1,083.59",$600.37,$0.00,"$1,683.96",$340.79,$188.81,$714.08,"$1,243.69","$15,218.98","$22,921.06","$14,589.01",$499.62,$0.00,$0.00,$0.00,$130.35,$0.00,$629.97,"$22,921.06","$16,164.71","$26,813.86",$529.60,$0.00,$0.00,$0.00
MS 319 MARIE TERESA,NYC GEOG DIST # 6 - MANHATTAN ,"$8,254.54","$2,469.79","$5,941.82",$23.26,"$16,689.41","$1,486.72",$823.72,$0.00,"$2,310.44","$1,085.36",$601.34,$351.45,"$2,038.16","$21,038.02","$28,740.09","$19,412.79",$823.98,$0.00,$52.42,$0.00,$748.82,$0.00,"$1,625.23","$28,740.09","$19,720.18","$6,238.34","$1,686.71",$0.00,$0.00,$0.00
MS 324 PATRIA MIRABAL,NYC GEOG DIST # 6 - MANHATTAN ,"$9,004.21","$3,188.86","$6,755.58",$53.11,"$19,001.76","$1,261.77",$699.08,$0.00,"$1,960.85",$307.87,$170.57,$799.35,"$1,277.79","$22,240.41","$29,942.48","$20,729.69",$864.30,$0.00,$52.50,$0.00,$348.37,$245.55,"$1,510.71","$29,942.48","$21,629.25","$9,925.93",$927.66,"$1,176.26",$0.00,$0.00
MUSCOTA,NYC GEOG DIST # 6 - MANHATTAN ,"$6,286.65","$2,932.31","$5,107.77",$0.00,"$14,326.74",$962.60,$533.33,$0.00,"$1,495.94",$503.47,$278.95,$389.68,"$1,172.11","$16,994.78","$24,696.86","$16,549.62",$22.12,$158.01,$7.01,$0.00,$258.02,$0.00,$445.16,"$24,696.86","$24,924.11","$9,052.22",$782.42,$0.00,$0.00,$0.00
PAULA HEDBAVNY SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$5,914.70","$1,437.60","$4,073.55",$0.00,"$11,425.85",$561.07,$310.86,$0.00,$871.93,$198.47,$109.96,$390.98,$699.42,"$12,997.20","$20,699.28","$12,776.44",$62.47,$43.07,$26.89,$0.00,$88.34,$0.00,$220.76,"$20,699.28","$14,827.66","$6,057.14",$308.44,$0.00,$0.00,$0.00
PROFESSOR JUAN BOSCH PS,NYC GEOG DIST # 6 - MANHATTAN ,"$9,491.48","$4,066.47","$7,511.79",$144.63,"$21,214.36","$1,088.12",$602.87,$0.00,"$1,690.99","$1,120.59",$620.86,$404.64,"$2,146.10","$25,051.46","$32,753.54","$23,473.36",$449.48,$223.44,$0.00,$0.00,$905.17,$0.00,"$1,578.09","$32,753.54","$37,479.22","$40,416.32","$1,741.46",$0.00,$0.00,$0.00
PS 115 ALEXANDER HUMBOLDT,NYC GEOG DIST # 6 - MANHATTAN ,"$7,944.90","$2,677.01","$5,885.08",$125.92,"$16,632.92","$1,243.36",$688.88,$0.00,"$1,932.24",$745.68,$413.15,"$1,026.34","$2,185.17","$20,750.34","$28,452.42","$17,360.64",$786.39,$395.17,$42.40,$0.00,$551.38,"$1,614.37","$3,389.70","$28,452.42","$22,626.31","$11,935.40","$1,158.83",$0.00,$0.00,"$17,816.03"
PS 128 AUDUBON,NYC GEOG DIST # 6 - MANHATTAN ,"$7,556.60","$2,474.83","$5,557.92",$0.00,"$15,589.35",$720.43,$399.15,$0.00,"$1,119.58",$515.81,$285.79,$526.89,"$1,328.49","$18,037.43","$25,739.51","$16,790.60",$704.54,$362.53,$32.19,$14.56,$133.01,$0.00,"$1,246.83","$25,739.51","$22,207.23","$13,985.49",$801.60,$0.00,$0.00,"$16,823.31"
PS 132 JUAN PABLO DUARTE,NYC GEOG DIST # 6 - MANHATTAN ,"$12,494.90","$4,916.46","$9,646.78",$143.57,"$27,201.72","$1,687.36",$934.88,$0.00,"$2,622.24",$482.23,$267.18,"$2,884.49","$3,633.91","$33,457.87","$41,159.95","$31,411.41","$1,072.04",$520.40,$75.61,$0.00,$378.41,$0.00,"$2,046.46","$41,159.95","$31,183.20","$15,654.47","$2,622.46","$5,732.65",$0.00,$0.00
PS 152 DYCKMAN VALLEY,NYC GEOG DIST # 6 - MANHATTAN ,"$7,544.55","$3,081.53","$5,887.39",$41.50,"$16,554.97",$770.83,$427.08,$0.00,"$1,197.90",$718.35,$398.00,$860.57,"$1,976.92","$19,729.80","$27,431.87","$17,437.31",$686.66,$255.53,$26.13,$0.00,$302.61,"$1,021.54","$2,292.48","$27,431.87","$26,526.62","$11,846.98","$1,388.77",$938.64,$0.00,"$16,445.44"
PS 153 ADAM CLAYTON POWELL,NYC GEOG DIST # 6 - MANHATTAN ,"$5,378.62","$2,717.96","$4,485.92",$74.91,"$12,657.41","$1,000.60",$554.38,$0.00,"$1,554.99",$585.12,$324.18,$517.39,"$1,426.69","$15,639.09","$23,341.16","$14,696.60",$716.54,$163.74,$41.74,$0.00,$20.46,$0.00,$942.49,"$23,341.16","$16,450.62","$3,782.34",$909.30,$0.00,$0.00,"$14,805.98"
PS 173,NYC GEOG DIST # 6 - MANHATTAN ,"$6,625.81","$2,854.69","$5,252.68",$0.00,"$14,733.18",$907.10,$502.58,$0.00,"$1,409.68",$721.47,$399.73,$817.47,"$1,938.68","$18,081.53","$25,783.61","$16,492.94",$618.68,$486.81,$26.06,$43.17,$413.86,$0.00,"$1,588.59","$25,783.61","$21,319.25","$7,492.39","$1,121.21",$0.00,$0.00,"$12,609.79"
PS 18 PARK TERRACE,NYC GEOG DIST # 6 - MANHATTAN ,"$7,905.39","$2,238.18","$5,620.06",$0.00,"$15,763.63",$851.85,$471.97,$0.00,"$1,323.81",$213.69,$118.39,$215.50,$547.58,"$17,635.04","$25,337.11","$16,439.66",$717.94,$183.71,$42.09,$0.00,$251.63,$0.00,"$1,195.37","$25,337.11","$20,221.60","$13,898.23",$332.08,$0.00,$0.00,$0.00
PS 189,NYC GEOG DIST # 6 - MANHATTAN ,"$7,486.58","$2,922.97","$5,767.42",$8.97,"$16,185.95",$721.34,$399.66,$0.00,"$1,121.00",$543.50,$301.13,$931.15,"$1,775.78","$19,082.74","$26,784.81","$17,048.29",$688.62,$178.93,$40.11,$0.00,$326.78,$800.01,"$2,034.45","$26,784.81","$26,682.69","$13,579.95",$844.63,$0.00,$0.00,"$19,969.15"
PS 192 JACOB H SCHIFF,NYC GEOG DIST # 6 - MANHATTAN ,"$7,931.87","$3,265.58","$6,203.96",$161.19,"$17,562.60","$1,255.68",$695.71,$0.00,"$1,951.40",$857.29,$474.98,$896.60,"$2,228.88","$21,742.88","$29,444.95","$19,825.12",$689.82,$376.99,$46.86,$0.00,$506.38,$297.70,"$1,917.76","$29,444.95","$21,666.98","$9,001.00","$1,629.98",$297.70,$0.00,"$22,722.06"
PS 28 WRIGHT BROTHERS,NYC GEOG DIST # 6 - MANHATTAN ,"$9,014.35","$2,791.90","$6,541.27",$24.28,"$18,371.81",$936.57,$518.91,$0.00,"$1,455.47",$680.87,$377.24,$708.18,"$1,766.28","$21,593.57","$29,295.64","$19,971.60",$812.11,$170.37,$53.52,$0.00,$138.15,$447.82,"$1,621.97","$29,295.64","$25,412.96","$13,106.11","$1,458.67",$636.71,$0.00,"$17,143.47"
PS 4 DUKE ELLINGTON,NYC GEOG DIST # 6 - MANHATTAN ,"$7,835.23","$3,204.60","$6,116.63",$116.70,"$17,273.16",$848.39,$470.05,$0.00,"$1,318.43",$551.84,$305.75,$437.09,"$1,294.68","$19,886.27","$27,588.35","$18,365.02",$730.39,$169.77,$48.16,$0.00,$407.25,$165.68,"$1,521.26","$27,588.35","$24,352.66","$15,662.00",$857.59,$0.00,$0.00,"$15,407.44"
PS 48 PO MICHAEL J BUCZEK,NYC GEOG DIST # 6 - MANHATTAN ,"$8,248.97","$3,136.96","$6,308.38",$0.00,"$17,694.31",$741.90,$411.05,$0.00,"$1,152.95",$544.16,$301.49,$433.98,"$1,279.63","$20,126.90","$27,828.98","$18,292.77",$775.59,$112.27,$51.10,$250.98,$644.18,$0.00,"$1,834.13","$27,828.98","$26,086.17","$17,937.88",$845.65,$0.00,$0.00,"$15,567.06"
PS 5 ELLEN LURIE,NYC GEOG DIST # 6 - MANHATTAN ,"$8,234.56","$3,097.73","$6,278.67",$46.21,"$17,657.17",$776.98,$430.49,$0.00,"$1,207.46",$737.12,$408.40,$519.45,"$1,664.97","$20,529.61","$28,231.69","$19,046.93",$682.01,$231.81,$59.21,$0.00,$456.41,$53.24,"$1,482.68","$28,231.69","$25,339.27","$15,244.59","$1,145.53",$0.00,$0.00,"$23,185.33"
PS 8 LUIS BELLIARD,NYC GEOG DIST # 6 - MANHATTAN ,"$7,439.74","$2,415.79","$5,460.47",$17.98,"$15,333.99",$685.41,$379.75,$0.00,"$1,065.17",$215.65,$119.48,"$1,271.48","$1,606.62","$18,005.77","$25,707.85","$16,595.42",$745.16,$157.90,$53.86,$50.51,$234.93,$167.99,"$1,410.35","$25,707.85","$22,213.02","$12,756.26",$642.78,$971.53,$0.00,"$20,209.03"
PS 98 SHORAC KAPPOCK,NYC GEOG DIST # 6 - MANHATTAN ,"$8,785.67","$4,009.37","$7,089.10",$102.80,"$19,986.94","$1,145.80",$634.83,$0.00,"$1,780.64",$457.80,$253.64,"$1,642.59","$2,354.04","$24,121.62","$31,823.69","$19,942.50",$750.97,$239.93,$48.76,$0.00,$550.68,"$2,588.77","$4,179.11","$31,823.69","$33,948.22","$9,252.96","$1,477.30","$1,505.06",$0.00,"$22,027.39"
PS/IS 187 HUDSON CLIFFS,NYC GEOG DIST # 6 - MANHATTAN ,"$5,756.80","$1,581.24","$4,065.65",$0.00,"$11,403.69",$575.29,$318.74,$0.00,$894.03,$338.86,$187.75,$198.07,$724.68,"$13,022.40","$20,724.47","$12,596.20",$37.67,$73.94,$18.28,$0.00,$296.31,$0.00,$426.20,"$20,724.47","$18,746.77","$16,672.97",$526.61,$0.00,$0.00,"$16,192.61"
PS/IS 210 21ST CENTURY ACADEMY,NYC GEOG DIST # 6 - MANHATTAN ,"$8,444.76","$2,254.35","$5,927.85",$0.00,"$16,626.95",$734.21,$406.79,$0.00,"$1,141.01",$256.47,$142.10,$191.56,$590.14,"$18,358.10","$26,060.18","$17,545.29",$638.20,$56.70,$49.88,$0.00,$68.02,$0.00,$812.81,"$26,060.18","$19,349.31","$25,279.18",$398.57,$0.00,$0.00,"$17,021.13"
WASHINGTON HEIGHTS ACADEMY,NYC GEOG DIST # 6 - MANHATTAN ,"$5,404.22","$2,437.09","$4,344.49",$42.94,"$12,228.75",$749.32,$415.16,$0.00,"$1,164.48",$200.38,$111.02,$829.44,"$1,140.84","$14,534.08","$22,236.15","$13,839.89",$563.33,$21.02,$21.78,$0.00,$88.06,$0.00,$694.19,"$22,236.15","$16,828.97","$5,469.47",$311.41,$0.00,$0.00,"$13,387.74"
WASHINGTON HGTS EXPEDITIONARY LEARN,NYC GEOG DIST # 6 - MANHATTAN ,"$6,056.40","$1,737.41","$4,318.17",$31.41,"$12,143.40",$613.43,$339.87,$0.00,$953.30,$452.74,$250.84,$847.28,"$1,550.85","$14,647.55","$22,349.62","$13,769.73",$663.53,$0.00,$17.28,$0.00,$84.29,$112.71,$877.81,"$22,349.62","$18,377.39","$7,160.61",$703.58,$0.00,$0.00,"$13,173.03"
